Mm6,Mp6,Ms6,Mm5,Mp5,Ms5,Mm4,Mp4,Ms4,Mm3,Mp3,Ms3,MS,S
14,13,11,12,15,15,10,12,12,10,10,9,11.18,0
15,10,14,11,12,13,12,12,12,8,9,9,11.37,0
14,12,15,12,13,16,11,9,12,8,7,7,9.8,0
10,10,10,12,11,14,10,11,9,7,8,9,10.38,0
12,11,12,11,13,11,11,11,9,8,7,9,8.42,0
18,15,14,12,14,12,11,10,11,7,12,11,10.17,0
16,14,15,15,14,15,13,14,12,10,12,12,11.47,0
14,13,15,11,15,16,10,10,11,5,7,12,10.22,0
15,10,13,11,13,16,10,11,13,8,9,11,10.93,0
15,12,17,12,12,17,10,6,13,12,11,14,11.44,0
14,14,17,13,15,14,10,8,14,9,10,13,10.09,0
14,12,15,8,12,12,10,10,11,6,6,12,10.64,0
13,12,14,7,11,11,12,14,11,8,8,12,11.01,0
13,11,14,12,13,15,10,11,13,8,8,11,11.47,0
14,14,14,10,7,12,7,10,10,10,9,12,9.91,0
15,15,14,11,13,13,8,14,12,11,6,16,11,0
12,12,16,12,14,10,8,10,11,5,11,11,9.78,0
11,13,12,12,11,9,10,15,12,12,9,13,11.36,0
15,15,17,14,14,14,11,11,12,9,12,14,11.14,0
14,14,15,10,13,11,8,12,10,5,7,11,11.16,0
13,10,13,8,8,11,6,11,10,5,4,13,10.09,0
14,13,14,12,13,10,8,13,11,8,6,15,9.83,0
14,14,16,12,14,11,14,16,13,12,9,13,10.8,0
14,16,14,11,13,11,12,12,11,12,7,12,9.91,0
12,13,11,10,12,14,14,15,10,12,8,9,9.69,0
13,14,14,12,13,16,10,12,10,7,10,10,10.7,0
13,13,17,9,11,12,8,7,8,6,8,12,10.44,0
11,13,11,9,14,12,7,16,10,8,10,9,10.94,0
15,14,10,12,12,11,14,13,7,14,11,7,9.76,0
11,12,11,10,13,15,10,11,11,7,5,10,9.57,0
17,15,13,13,15,13,14,15,12,12,10,9,11.06,0
9,9,12,10,12,15,11,13,12,9,5,9,11.19,0
15,14,17,12,14,13,8,10,14,9,7,10,9.76,0
11,12,13,12,12,15,12,12,9,12,10,9,11.41,0
14,14,16,10,12,9,10,9,11,4,9,11,10.57,0
12,14,16,12,14,16,10,9,13,8,8,9,11,0
11,11,10,10,12,9,10,9,9,8,9,8,10,0
13,14,12,14,14,14,13,13,10,8,10,9,10,0
16,14,15,13,12,11,12,9,11,11,5,11,11,0
13,13,15,11,10,10,9,12,9,10,7,6,11,0
14,12,11,13,13,10,8,9,8,9,8,9,9.43,0
15,14,13,12,14,14,12,12,16,10,9,14,11.43,0
12,15,12,13,14,11,8,8,10,9,7,10,8.98,0
13,13,13,11,14,12,11,11,15,12,10,13,10.82,0
9,12,11,8,11,8,7,8,15,6,6,9,8.62,0
11,12,9,8,10,11,12,12,13,9,8,11,10.6,0
14,12,8,16,12,9,9,13,8,12,9,9,10.12,0
13,14,11,11,14,10,9,10,9,6,9,8,11.02,0
11,15,13,12,12,12,11,12,15,9,12,11,9.72,0
11,14,13,12,14,12,7,10,13,6,7,12,10.73,0
11,13,9,10,9,8,8,8,13,8,9,13,9.37,0
7,13,10,10,12,9,7,11,11,6,6,14,9.07,0
12,15,14,11,14,12,11,11,10,6,11,13,11.06,0
10,15,11,9,14,12,10,13,14,9,11,12,10.52,0
10,15,11,11,11,9,6,8,12,7,4,7,10.39,0
10,15,12,9,8,9,5,12,9,6,6,9,9.32,0
10,12,10,9,11,10,7,7,13,6,7,9,10.21,0
11,11,10,11,12,8,10,10,7,6,6,4,10.02,0
16,16,14,14,16,13,16,17,11,11,12,15,11.5,0
13,16,15,13,13,12,9,13,12,10,7,11,10.18,0
13,15,12,15,14,9,13,13,12,7,4,10,10.41,0
9,15,12,10,14,10,6,11,14,6,8,10,11.49,0
10,14,11,8,9,9,8,8,12,7,3,8,9.46,0
